post_id,title,url,publication_date,modified_date,provenance
9398,How to Banish Family,https://lettersfortitles.com/how-to-banish-family/,2022-09-13,2022-11-15,repository data/corpus.json; WordPress REST API harvest; day precision
9281,Translating Eþel,https://lettersfortitles.com/translating-ethel/,2022-09-14,2026-01-18,repository data/corpus.json; WordPress REST API harvest; day precision
9283,Translating Gifu,https://lettersfortitles.com/translating-gifu/,2022-09-15,2022-09-15,repository data/corpus.json; WordPress REST API harvest; day precision
7682,Stanza 7: Gift,https://lettersfortitles.com/gift/,2022-09-16,2022-09-15,repository data/corpus.json; WordPress REST API harvest; day precision
7787,Turn,https://lettersfortitles.com/turn/,2022-09-19,2022-09-19,repository data/corpus.json; WordPress REST API harvest; day precision
7652,Stanza 23: Home,https://lettersfortitles.com/stanza-23-home/,2022-09-20,2022-09-16,repository data/corpus.json; WordPress REST API harvest; day precision
9678,ᛝ,https://lettersfortitles.com/%e1%9b%9d/,2022-09-21,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
9675,ᚹ,https://lettersfortitles.com/%e1%9a%b9/,2022-09-22,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
9639,Rune Casting: Ing,https://lettersfortitles.com/rune-casting-ing/,2022-09-23,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
9632,Rune Casting: Wyn,https://lettersfortitles.com/rune-casting-wyn/,2022-09-26,2023-01-12,repository data/corpus.json; WordPress REST API harvest; day precision
9709,How to Skip Town,https://lettersfortitles.com/how-to-skip-town/,2022-09-27,2026-01-18,repository data/corpus.json; WordPress REST API harvest; day precision
9739,Ing is for Scylding,https://lettersfortitles.com/ing-is-for-scylding/,2022-09-28,2022-09-25,repository data/corpus.json; WordPress REST API harvest; day precision
9691,W is for Ƿ,https://lettersfortitles.com/w-is-for-%c6%bf/,2022-09-29,2022-09-25,repository data/corpus.json; WordPress REST API harvest; day precision
9728,X≠Y≠Z: No Z,https://lettersfortitles.com/x%e2%89%a0y%e2%89%a0z-no-z/,2022-09-30,2023-09-09,repository data/corpus.json; WordPress REST API harvest; day precision
9549,Prosperity,https://lettersfortitles.com/prosperity/,2022-10-03,2022-10-04,repository data/corpus.json; WordPress REST API harvest; day precision
9747,Bliss,https://lettersfortitles.com/bliss/,2022-10-04,2022-11-15,repository data/corpus.json; WordPress REST API harvest; day precision
9655,All in All,https://lettersfortitles.com/all-in-all/,2022-10-05,2022-09-28,repository data/corpus.json; WordPress REST API harvest; day precision
9585,Ing is for Nerþus,https://lettersfortitles.com/ing-is-for-nerthus/,2022-10-06,2022-10-27,repository data/corpus.json; WordPress REST API harvest; day precision
9660,How to be Happy,https://lettersfortitles.com/how-to-be-happy/,2022-10-07,2023-02-07,repository data/corpus.json; WordPress REST API harvest; day precision
9534,Translating Wyn,https://lettersfortitles.com/translating-wyn/,2022-10-10,2023-02-28,repository data/corpus.json; WordPress REST API harvest; day precision
9535,Translating Ing,https://lettersfortitles.com/translating-ing/,2022-10-11,2022-10-06,repository data/corpus.json; WordPress REST API harvest; day precision
7686,Stanza 22: Ing,https://lettersfortitles.com/ing/,2022-10-12,2026-01-18,repository data/corpus.json; WordPress REST API harvest; day precision
7684,Stanza 8: Joy,https://lettersfortitles.com/stanza-8-joy/,2022-10-13,2022-10-11,repository data/corpus.json; WordPress REST API harvest; day precision
9977,ᛚ,https://lettersfortitles.com/%e1%9b%9a/,2022-10-14,2026-01-18,repository data/corpus.json; WordPress REST API harvest; day precision
